Frame,Body Part,X,Y,UPDRS_gait
23,REar,333,39,1
23,Background,0,336,1
24,Nose,361,54,1
24,Neck,320,70,1
24,RShoulder,320,70,1
24,RElbow,306,117,1
24,RWrist,333,180,1
24,LShoulder,333,70,1
24,RHip,320,180,1
24,RKnee,306,258,1
24,RAnkle,306,305,1
24,LKnee,320,258,1
24,LAnkle,320,305,1
24,REye,361,46,1
24,REar,333,46,1
24,Background,0,336,1
25,Nose,361,54,1
25,Neck,320,70,1
25,RShoulder,320,70,1
25,RElbow,306,117,1
25,LShoulder,333,70,1
25,RHip,320,180,1
25,RKnee,306,258,1
25,RAnkle,306,313,1
25,LKnee,320,258,1
25,LAnkle,320,305,1
25,REye,361,46,1
25,REar,333,46,1
25,Background,13,344,1
26,Nose,361,54,1
26,Neck,320,70,1
26,RShoulder,320,70,1
26,RElbow,306,117,1
26,RWrist,333,180,1
26,LShoulder,333,70,1
26,RHip,320,180,1
26,RKnee,306,266,1
26,RAnkle,306,313,1
26,LKnee,333,266,1
26,LAnkle,333,305,1
26,REye,361,46,1
26,REar,333,39,1
26,Background,0,336,1
27,Nose,361,54,1
27,Neck,320,70,1
27,RShoulder,320,70,1
27,RElbow,306,117,1
27,RWrist,333,180,1
27,LShoulder,333,70,1
27,RHip,320,156,1
27,RKnee,306,266,1
27,RAnkle,306,313,1
27,LAnkle,333,305,1
27,REye,361,46,1
27,REar,333,39,1
27,Background,0,336,1
28,Nose,361,54,1
28,Neck,320,70,1
28,RShoulder,320,70,1
28,RElbow,306,117,1
28,RWrist,333,180,1
28,LShoulder,333,70,1
28,RHip,306,180,1
28,RKnee,306,273,1
28,RAnkle,306,320,1
28,LKnee,333,273,1
28,LAnkle,333,313,1
28,REye,361,46,1
28,REar,347,46,1
28,Background,13,344,1
29,Nose,361,54,1
29,Neck,320,70,1
29,RShoulder,320,70,1
29,RElbow,306,117,1
29,RWrist,333,180,1
29,LShoulder,333,70,1
29,RHip,306,180,1
29,RKnee,306,258,1
29,RAnkle,306,320,1
29,LAnkle,347,313,1
29,REye,361,46,1
29,REar,347,46,1
29,Background,13,344,1
30,Nose,361,54,1
30,Neck,320,70,1
30,RShoulder,320,70,1
30,RElbow,306,117,1
30,RWrist,333,180,1
30,LShoulder,333,70,1
30,RHip,320,164,1
30,RAnkle,306,313,1
30,REye,361,46,1
30,REar,347,46,1
30,Background,13,344,1
31,Nose,361,54,1
31,Neck,320,70,1
31,RShoulder,320,70,1
31,RElbow,306,109,1
31,RWrist,333,180,1
31,LShoulder,333,70,1
31,RHip,320,164,1
31,LAnkle,361,313,1
31,REye,361,46,1
31,REar,347,46,1
31,Background,13,344,1
32,Nose,361,54,1
32,Neck,333,70,1
32,RShoulder,320,70,1
32,RElbow,320,109,1
32,RWrist,333,180,1
32,LShoulder,333,70,1
32,RHip,320,156,1
32,RAnkle,306,313,1
32,LHip,320,148,1
32,LAnkle,361,313,1
32,REye,361,46,1
32,REar,347,46,1
32,Background,612,336,1
33,Nose,361,54,1
33,Neck,333,70,1
33,RShoulder,320,70,1
33,RElbow,320,109,1
33,LShoulder,333,70,1
33,RHip,333,180,1
33,RKnee,292,258,1
33,RAnkle,306,313,1
33,LAnkle,361,313,1
33,REye,361,46,1
33,REar,347,46,1
33,Background,0,0,1
34,Nose,375,54,1
34,Neck,333,70,1
34,RShoulder,320,70,1
34,RElbow,320,101,1
34,LShoulder,347,70,1
34,RHip,320,133,1
34,RKnee,306,258,1
34,RAnkle,306,313,1
34,LHip,333,140,1
34,LKnee,347,258,1
34,LAnkle,361,313,1
34,REye,361,46,1
34,REar,347,46,1
34,Background,612,281,1
35,Nose,375,54,1
35,Neck,333,70,1
35,RShoulder,320,70,1
35,RElbow,320,109,1
35,LShoulder,333,70,1
35,RHip,320,187,1
35,RKnee,306,258,1
35,RAnkle,292,313,1
35,LHip,333,140,1
35,LKnee,347,258,1
35,LAnkle,347,313,1
35,REye,361,46,1
35,REar,347,46,1
35,Background,612,281,1
36,Nose,375,54,1
36,Neck,333,70,1
36,RShoulder,333,70,1
36,RElbow,320,109,1
36,LShoulder,347,70,1
36,RHip,320,140,1
36,RKnee,306,258,1
36,RAnkle,292,313,1
36,LHip,333,133,1
36,LKnee,347,258,1
36,LAnkle,347,313,1
36,REye,361,46,1
36,REar,347,46,1
36,Background,612,281,1
37,Nose,375,54,1
37,Neck,333,70,1
37,RShoulder,333,70,1
37,RElbow,320,109,1
37,RWrist,347,180,1
37,LShoulder,347,70,1
37,RHip,320,180,1
37,RKnee,306,258,1
37,RAnkle,292,313,1
37,LAnkle,347,313,1
37,REye,361,46,1
37,REar,347,46,1
37,Background,13,344,1
38,Nose,375,54,1
38,Neck,333,70,1
38,RShoulder,333,70,1
38,RElbow,320,117,1
38,RWrist,347,180,1
38,LShoulder,347,70,1
38,RHip,320,156,1
38,RKnee,320,242,1
38,RAnkle,292,313,1
38,LKnee,347,250,1
38,LAnkle,347,313,1
38,REye,361,46,1
38,REar,347,46,1
38,Background,612,281,1
39,Nose,375,46,1
39,Neck,333,70,1
39,RShoulder,333,70,1
39,RElbow,320,109,1
39,LShoulder,347,70,1
39,RHip,320,148,1
39,RKnee,306,258,1
39,RAnkle,292,313,1
39,LHip,347,140,1
39,LAnkle,347,313,1
39,REye,361,46,1
39,REar,347,46,1
39,Background,612,281,1
40,Nose,375,54,1
40,Neck,333,70,1
40,RShoulder,333,70,1
40,RElbow,320,109,1
40,LShoulder,347,70,1
40,RHip,333,148,1
40,RKnee,306,266,1
40,RAnkle,292,313,1
40,LKnee,347,273,1
40,LAnkle,347,313,1
40,REye,375,46,1
40,REar,347,46,1
40,Background,612,281,1
41,Nose,375,54,1
41,Neck,333,70,1
41,RShoulder,333,70,1
41,RElbow,320,101,1
41,RWrist,347,140,1
41,LShoulder,347,70,1
41,RHip,333,234,1
41,RKnee,333,273,1
41,RAnkle,347,313,1
41,LHip,333,234,1
41,LKnee,320,266,1
41,LAnkle,292,313,1
41,REye,375,46,1
41,REar,347,46,1
41,Background,13,344,1
42,Nose,375,54,1
42,Neck,333,70,1
42,RShoulder,333,70,1
42,RElbow,320,101,1
42,LShoulder,347,70,1
42,RHip,333,133,1
42,RKnee,320,266,1
42,RAnkle,333,313,1
42,LKnee,320,266,1
42,LAnkle,292,305,1
42,REye,375,46,1
42,REar,347,46,1
42,Background,612,281,1
43,Nose,375,54,1
43,Neck,333,70,1
43,RShoulder,333,70,1
43,RElbow,320,109,1
43,LShoulder,347,70,1
43,RHip,333,148,1
43,RKnee,320,266,1
43,RAnkle,333,313,1
43,LKnee,320,266,1
43,LAnkle,292,305,1
43,REye,375,46,1
43,REar,347,46,1
43,Background,612,281,1
44,Nose,375,54,1
44,Neck,333,70,1
44,RShoulder,333,70,1
44,RElbow,320,109,1
44,LShoulder,347,70,1
44,RHip,333,148,1
44,RKnee,333,266,1
44,RAnkle,306,305,1
44,LKnee,333,266,1
44,LAnkle,306,305,1
44,REye,375,46,1
44,REar,361,46,1
44,Background,612,281,1
45,Nose,375,54,1
45,Neck,333,70,1
45,RShoulder,333,70,1
45,RElbow,320,109,1
45,LShoulder,347,70,1
45,RHip,333,172,1
45,RKnee,333,266,1
45,RAnkle,320,305,1
45,LKnee,333,266,1
45,LAnkle,306,305,1
45,REye,375,46,1
45,REar,347,46,1
45,Background,612,281,1
46,Nose,375,54,1
46,Neck,333,70,1
46,RShoulder,333,70,1
46,RElbow,320,101,1
46,LShoulder,347,70,1
46,RHip,333,172,1
46,RKnee,333,266,1
46,RAnkle,320,305,1
46,LKnee,333,266,1
46,LAnkle,320,297,1
46,REye,375,46,1
46,REar,361,46,1
46,Background,612,281,1
47,Nose,375,54,1
47,Neck,333,70,1
47,RShoulder,333,70,1
47,RElbow,320,109,1
47,LShoulder,347,70,1
47,RHip,333,180,1
47,RKnee,333,266,1
47,RAnkle,320,305,1
47,LHip,347,180,1
47,LKnee,333,266,1
47,LAnkle,320,305,1
47,REye,375,46,1
47,REar,361,46,1
47,Background,612,273,1
48,Nose,375,54,1
48,Neck,333,70,1
48,RShoulder,333,70,1
48,RElbow,320,101,1
48,LShoulder,347,70,1
48,RHip,333,180,1
48,RKnee,361,234,1
48,RAnkle,333,305,1
48,LHip,333,180,1
48,LKnee,320,258,1
48,LAnkle,320,305,1
48,REye,375,46,1
48,REar,361,46,1
48,Background,612,273,1
49,Nose,375,54,1
49,Neck,333,70,1
49,RShoulder,333,70,1
49,RElbow,320,101,1
49,LShoulder,347,70,1
49,RHip,333,180,1
49,RKnee,333,266,1
49,RAnkle,333,313,1
49,LHip,347,187,1
49,LKnee,333,266,1
49,LAnkle,320,313,1
49,REye,375,46,1
49,REar,361,46,1
49,Background,612,281,1
50,Nose,375,54,1
50,Neck,333,70,1
50,RShoulder,333,70,1
50,RElbow,320,109,1
50,LShoulder,347,70,1
50,RHip,333,180,1
50,RKnee,320,266,1
50,RAnkle,333,313,1
50,LHip,347,180,1
50,LKnee,347,266,1
50,LAnkle,347,313,1
50,REye,375,54,1
50,REar,361,46,1
50,Background,612,273,1
51,Nose,375,54,1
51,Neck,333,70,1
51,RShoulder,333,78,1
51,RElbow,320,117,1
51,LShoulder,347,70,1
51,RHip,333,180,1
51,RKnee,320,266,1
51,RAnkle,320,313,1
51,LHip,347,180,1
51,LKnee,347,266,1
51,LAnkle,361,320,1
51,REye,375,54,1
51,REar,361,54,1
51,Background,612,273,1
52,Nose,375,62,1
52,Neck,333,78,1
52,RShoulder,333,78,1
52,RElbow,320,109,1
52,LShoulder,347,78,1
52,RHip,333,180,1
52,RKnee,320,266,1
52,RAnkle,306,313,1
52,LHip,347,180,1
52,LAnkle,375,320,1
52,REye,375,54,1
52,REar,361,54,1
52,Background,612,273,1
53,Nose,375,62,1
53,Neck,333,78,1
53,RShoulder,333,78,1
53,RElbow,320,109,1
53,LShoulder,347,78,1
53,RHip,333,180,1
53,LHip,333,180,1
53,REye,375,54,1
53,REar,361,54,1
53,Background,612,273,1
54,Nose,375,62,1
54,Neck,347,78,1
54,RShoulder,333,78,1
54,RElbow,320,117,1
54,LShoulder,347,78,1
54,RHip,333,187,1
54,LHip,347,187,1
54,REye,375,54,1
54,REar,361,54,1
54,Background,612,62,1
55,Nose,375,62,1
55,Neck,347,78,1
55,RShoulder,333,78,1
55,RElbow,320,125,1
55,LShoulder,347,78,1
55,RHip,333,187,1
55,LHip,347,187,1
55,LKnee,320,250,1
55,LAnkle,306,313,1
55,REye,375,54,1
55,REar,361,54,1
55,Background,612,62,1
56,Nose,375,62,1
56,Neck,347,78,1
56,RShoulder,333,78,1
56,RElbow,320,109,1
56,LShoulder,347,78,1
56,RHip,333,187,1
56,LHip,347,140,1
56,REye,375,54,1
56,REar,361,54,1
56,Background,612,62,1
57,Nose,389,62,1
57,Neck,347,78,1
57,RShoulder,333,78,1
57,RElbow,333,109,1
57,LShoulder,347,78,1
57,RHip,333,140,1
57,LHip,347,140,1
57,LKnee,320,242,1
57,LAnkle,389,328,1
57,REye,375,54,1
57,REar,361,54,1
57,Background,612,62,1
58,Nose,389,62,1
58,Neck,347,78,1
58,RShoulder,333,78,1
58,RElbow,333,117,1
58,LShoulder,347,78,1
58,RHip,333,140,1
58,RKnee,320,250,1
58,RAnkle,292,313,1
58,LHip,347,140,1
58,LAnkle,375,328,1
58,REye,375,54,1
58,REar,361,54,1
58,Background,612,62,1
59,Nose,389,62,1
59,Neck,347,78,1
59,RShoulder,347,78,1
59,RElbow,333,117,1
59,LShoulder,347,78,1
59,RHip,347,180,1
59,RKnee,333,242,1
59,RAnkle,292,313,1
59,LKnee,320,242,1
59,LAnkle,292,320,1
59,REye,375,54,1
59,REar,361,54,1
59,Background,612,62,1
60,Nose,389,62,1
60,Neck,347,78,1
60,RShoulder,347,78,1
60,RElbow,333,117,1
60,LShoulder,347,70,1
60,RHip,333,140,1
60,LHip,347,140,1
60,LKnee,333,242,1
60,LAnkle,292,313,1
60,REye,375,54,1
60,REar,361,54,1
60,Background,612,62,1
61,Nose,389,54,1
61,Neck,347,70,1
61,RShoulder,347,78,1
61,RElbow,333,117,1
61,LShoulder,347,70,1
61,RHip,333,140,1
61,RKnee,333,242,1
61,RAnkle,292,305,1
61,LHip,347,140,1
61,LKnee,333,242,1
61,LAnkle,375,328,1
61,REye,389,54,1
61,REar,361,46,1
61,Background,612,62,1
62,Nose,389,54,1
62,Neck,347,70,1
62,RShoulder,347,78,1
62,RElbow,333,117,1
62,RWrist,347,148,1
62,LShoulder,347,70,1
62,RHip,347,140,1
62,RAnkle,292,305,1
62,LKnee,333,242,1
62,LAnkle,361,328,1
62,REye,375,46,1
62,REar,361,46,1
62,Background,612,62,1
63,Nose,389,54,1
63,Neck,347,70,1
63,RShoulder,347,70,1
63,RElbow,333,109,1
63,RWrist,347,148,1
63,LShoulder,347,70,1
63,RHip,333,140,1
63,RKnee,320,273,1
63,RAnkle,292,305,1
63,LHip,361,242,1
63,LKnee,361,281,1
63,LAnkle,361,328,1
63,REye,375,46,1
63,REar,361,46,1
63,Background,612,62,1
64,Nose,389,54,1
64,Neck,347,70,1
64,RShoulder,347,70,1
64,RElbow,333,109,1
64,RWrist,347,148,1
64,LShoulder,347,70,1
64,RHip,347,140,1
64,LHip,347,140,1
64,LKnee,347,281,1
64,LAnkle,347,328,1
64,REye,389,46,1
64,REar,361,46,1
64,Background,612,62,1
65,Nose,389,54,1
65,Neck,347,70,1
65,RShoulder,347,70,1
65,RElbow,333,109,1
65,RWrist,361,148,1
65,LShoulder,347,70,1
65,RHip,347,140,1
65,RKnee,333,273,1
65,RAnkle,292,297,1
65,LHip,347,242,1
65,LKnee,347,273,1
65,LAnkle,347,328,1
65,REye,375,46,1
65,REar,361,46,1
65,Background,612,62,1
66,Nose,389,54,1
66,Neck,347,70,1
66,RShoulder,347,70,1
66,RElbow,333,109,1
66,RWrist,347,148,1
66,LShoulder,347,70,1
66,RHip,347,148,1
66,RKnee,333,273,1
66,RAnkle,333,320,1
66,LHip,333,140,1
66,LKnee,333,273,1
66,LAnkle,333,328,1
66,REye,375,46,1
66,REar,361,46,1
66,Background,612,62,1
67,Nose,389,46,1
67,Neck,347,70,1
67,RShoulder,347,70,1
67,RElbow,333,109,1
67,LShoulder,333,62,1
67,RHip,347,180,1
67,RKnee,333,266,1
67,RAnkle,333,328,1
67,LHip,333,140,1
67,LKnee,333,266,1
67,LAnkle,333,328,1
67,REye,375,46,1
67,REar,361,39,1
67,Background,612,281,1
68,Nose,375,46,1
68,Neck,347,62,1
68,RShoulder,347,70,1
68,RElbow,347,109,1
68,LShoulder,333,62,1
68,RHip,347,180,1
68,RKnee,333,281,1
68,RAnkle,333,320,1
68,LHip,320,172,1
68,LKnee,333,273,1
68,LAnkle,333,320,1
68,REye,375,46,1
68,REar,361,39,1
68,Background,612,281,1
69,Nose,375,46,1
69,Neck,333,70,1
69,RShoulder,347,70,1
69,RElbow,347,117,1
69,RWrist,347,164,1
69,LShoulder,333,62,1
69,RHip,347,172,1
69,RKnee,333,266,1
69,RAnkle,333,320,1
69,LHip,320,172,1
69,LKnee,333,266,1
69,LAnkle,333,320,1
69,REye,375,46,1
69,REar,361,39,1
69,Background,612,320,1
70,Nose,375,46,1
70,Neck,333,62,1
70,RShoulder,347,70,1
70,RElbow,347,117,1
70,RWrist,347,164,1
70,LShoulder,333,62,1
70,RHip,347,180,1
70,RKnee,333,266,1
70,RAnkle,333,313,1
70,LHip,320,180,1
70,LKnee,347,258,1
70,LAnkle,333,313,1
70,REye,375,46,1
70,REar,361,39,1
70,Background,612,7,1
71,Nose,375,46,1
71,Neck,333,62,1
71,RShoulder,333,70,1
71,RElbow,333,117,1
71,RWrist,347,164,1
71,LShoulder,333,62,1
71,RHip,333,180,1
71,RAnkle,320,320,1
71,LHip,320,172,1
71,LAnkle,347,313,1
71,REye,375,39,1
71,REar,347,39,1
71,Background,612,320,1
72,Nose,375,54,1
72,Neck,333,70,1
72,RShoulder,333,70,1
72,RElbow,333,117,1
72,RWrist,347,164,1
72,LShoulder,333,62,1
72,RHip,333,180,1
72,RAnkle,306,320,1
72,LHip,320,172,1
72,LAnkle,320,320,1
72,REye,375,46,1
72,REar,361,39,1
72,Background,612,320,1
73,Nose,375,54,1
73,Neck,333,70,1
73,RShoulder,333,70,1
73,RElbow,333,117,1
73,RWrist,347,172,1
73,LShoulder,320,62,1
73,RHip,333,180,1
73,RAnkle,306,320,1
73,LHip,320,180,1
73,LKnee,306,242,1
73,REye,361,46,1
73,REar,347,39,1
73,Background,626,15,1
74,Nose,375,54,1
74,Neck,333,70,1
74,RShoulder,333,70,1
74,RElbow,333,117,1
74,RWrist,347,172,1
74,LShoulder,320,62,1
74,RHip,333,180,1
74,RAnkle,306,320,1
74,LHip,320,180,1
74,LKnee,306,242,1
74,REye,361,46,1
74,REar,347,46,1
74,Background,612,7,1
75,Nose,361,54,1
75,Neck,333,70,1
75,RShoulder,333,70,1
75,RElbow,333,125,1
75,RWrist,347,172,1
75,LShoulder,320,70,1
75,RHip,333,187,1
75,RKnee,306,250,1
75,LHip,306,180,1
75,LKnee,306,250,1
75,LAnkle,292,320,1
75,REye,361,46,1
75,REar,347,46,1
75,Background,612,281,1
76,Nose,361,54,1
76,Neck,333,70,1
76,RShoulder,333,70,1
76,RElbow,333,109,1
76,RWrist,347,172,1
76,LShoulder,320,70,1
76,RHip,333,187,1
76,LHip,306,180,1
76,LKnee,292,258,1
76,REye,361,46,1
76,REar,347,46,1
76,Background,612,273,1
77,Nose,361,54,1
77,Neck,333,70,1
77,RShoulder,333,70,1
77,RElbow,333,117,1
77,RWrist,347,180,1
77,LShoulder,320,70,1
77,RHip,333,187,1
77,LHip,306,187,1
77,LKnee,292,258,1
77,LAnkle,292,320,1
77,REye,361,46,1
77,REar,347,46,1
77,Background,612,7,1
78,Nose,361,54,1
78,Neck,333,70,1
78,RShoulder,333,78,1
78,RElbow,333,109,1
78,RWrist,347,172,1
78,LShoulder,320,70,1
78,RHip,333,187,1
78,RKnee,292,258,1
78,LHip,320,187,1
78,LKnee,292,258,1
78,LAnkle,375,320,1
78,REye,361,46,1
78,REar,347,46,1
78,Background,612,273,1
79,Nose,361,54,1
79,Neck,333,70,1
79,RShoulder,333,78,1
79,RElbow,333,117,1
79,RWrist,347,180,1
79,LShoulder,320,70,1
79,RHip,333,187,1
79,RKnee,292,266,1
79,RAnkle,278,320,1
79,LHip,320,187,1
79,LKnee,361,273,1
79,LAnkle,375,320,1
79,REye,361,54,1
79,REar,347,54,1
79,Background,612,7,1
80,Nose,361,54,1
80,Neck,333,70,1
80,RShoulder,333,78,1
80,RElbow,333,117,1
80,LShoulder,320,70,1
80,RHip,333,148,1
80,RKnee,292,266,1
80,RAnkle,278,320,1
80,LAnkle,361,320,1
80,REye,361,54,1
80,REar,347,54,1
80,Background,612,7,1
81,Nose,361,54,1
81,Neck,333,70,1
81,RShoulder,333,78,1
81,RElbow,333,109,1
81,LShoulder,320,70,1
81,RHip,333,187,1
81,RKnee,320,242,1
81,RAnkle,264,320,1
81,LHip,320,187,1
81,LKnee,306,250,1
81,LAnkle,361,320,1
81,REye,361,54,1
81,REar,347,54,1
81,Background,612,7,1
82,Nose,361,54,1
82,Neck,333,70,1
82,RShoulder,333,78,1
82,RElbow,333,109,1
82,LShoulder,320,70,1
82,RHip,333,180,1
82,RKnee,320,250,1
82,RAnkle,278,313,1
82,LHip,320,140,1
82,LKnee,320,250,1
82,LAnkle,264,320,1
82,REye,361,54,1
82,REar,347,54,1
82,Background,612,7,1
83,Nose,361,54,1
83,Neck,333,70,1
83,RShoulder,333,70,1
83,RElbow,320,109,1
83,LShoulder,320,70,1
83,RHip,333,140,1
83,RKnee,347,281,1
83,RAnkle,347,328,1
83,LHip,320,140,1
83,LAnkle,264,313,1
83,REye,361,46,1
83,REar,347,46,1
83,Background,612,7,1
84,Nose,361,54,1
84,Neck,333,70,1
84,RShoulder,333,70,1
84,RElbow,333,109,1
